ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
17262,I am a student who is learning to code,"Student, part-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",2,,,,,,,Java;JavaScript;Node.js;PHP;SQL,,MySQL;PostgreSQL;Redis;SQLite,,AWS;DigitalOcean;Heroku,,Express;Gatsby;Laravel;React.js;Vue.js,,React Native,Flutter,Docker;Git,Docker;Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Too long,Easy,
17460,I am a developer by profession,"Student, full-time",Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification;Books / Physical media,8,,,,,,,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python,HTML/CSS;JavaScript;Node.js;Python,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,MongoDB,AWS;Heroku,AWS;Heroku,Django;Express;Flask;Gatsby;jQuery;React.js,Django;Express;jQuery;React.js,NumPy;Pandas;React Native,,Docker;Git;Yarn,Git;Yarn,Atom;IntelliJ;PyCharm;Sublime Text;Vim;Visual Studio Code;Webstorm,Atom;PyCharm;Visual Studio Code;Webstorm,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,,,Appropriate in length,Easy,
18018,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",4,8,"Developer, mobile;Developer, full-stack",2 to 9 employees,USD	United States dollar,36000.0,Yearly,JavaScript;Node.js;PHP;SQL,JavaScript;Node.js;PHP;SQL,Firebase;MySQL,Firebase;MySQL,DigitalOcean,DigitalOcean,jQuery;Laravel;React.js;Vue.js,jQuery;Laravel;React.js,React Native,React Native,Docker;Git,Docker;Git,Sublime Text,Sublime Text;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,Too long,Easy,36000.0
18965,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",5,,,,,,,Bash/Shell;Java;PowerShell;Python;Rust,C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;TypeScript,MySQL,,AWS,,,,NumPy,.NET Framework;.NET Core / .NET 5;NumPy,Git,Git;Unity 3D;Unreal Engine,Android Studio;Notepad++;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow,A few times per week,Not sure/can't remember,,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Neither easy nor difficult,
19311,I code primarily as a hobby,"Not employed, but looking for work",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc)",10,,,,,,,C#;C++;HTML/CSS;Rust,C#;C++;Go;HTML/CSS;JavaScript;Rust,SQLite,Elasticsearch;PostgreSQL;SQLite,AWS,AWS;Google Cloud Platform;Heroku,ASP.NET Core ,ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5,Git,Docker;Git;Kubernetes;Unity 3D,IntelliJ;Rider;Sublime Text;Visual Studio Code,IntelliJ;Rider;Sublime Text;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Play games,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual;Bisexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
19341,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",5,7,"Developer, full-stack","10,000 or more employees",PHP	Philippine peso,800000.0,Yearly,C#;HTML/CSS;Java;JavaScript;SQL;VBA,C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,Microsoft SQL Server;MySQL,Firebase;Microsoft SQL Server;MySQL,AWS;Microsoft Azure,AWS;Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5;Flutter;React Native;TensorFlow,Git,Docker;Git;Kubernetes;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,15800.0
21509,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague",2,4,Other (please specify):,"1,000 to 4,999 employees",USD	United States dollar,20000.0,Yearly,C#;Dart;HTML/CSS;JavaScript;SQL,Kotlin;Node.js;Python;Swift;TypeScript,Microsoft SQL Server;Oracle,Firebase,Google Cloud Platform,,Angular.js;ASP.NET;jQuery,React.js;Vue.js,.NET Framework;Flutter,,Git,,Visual Studio;Visual Studio Code;Xcode,,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,20000.0
21755,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,6,2,"Developer, full-stack",20 to 99 employees,PHP	Philippine peso,1510000.0,Monthly,C#;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,Dart;HTML/CSS;Java;JavaScript;Node.js;SQL,MySQL,Elasticsearch;MongoDB;MySQL;Redis,Heroku,AWS;DigitalOcean,Laravel;Spring;Vue.js,Spring;Vue.js,,,Docker;Git,Docker;Git;Kubernetes,Android Studio;IntelliJ;NetBeans;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Play games,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,357876.0
21799,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",10,6,"Developer, front-end",2 to 9 employees,PHP	Philippine peso,72000.0,Monthly,C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL,Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;Swift;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,DigitalOcean;Heroku,AWS;Google Cloud Platform,Angular.js;Django;Express;jQuery;Laravel;Vue.js,Django;Express;React.js;Svelte;Vue.js,Cordova,TensorFlow,Flow;Git;Unity 3D;Yarn,Ansible;Chef;Deno;Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D;Unreal Engine,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Rider;Sublime Text;Visual Studio;Xcode,PyCharm;Visual Studio Code;Webstorm;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,Prefer not to say,Too long,Neither easy nor difficult,17064.0
21912,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",7,5,"Developer, back-end",20 to 99 employees,PHP	Philippine peso,14000.0,Monthly,JavaScript;PHP;SQL,Dart;Go;Node.js;Python;TypeScript,MariaDB;MySQL,Firebase;PostgreSQL;Redis,,,jQuery;React.js,Angular;Angular.js;Flask;Symfony;Vue.js,,,Docker;Git,Kubernetes;Unreal Engine;Xamarin,Sublime Text;Visual Studio Code,PyCharm;Xcode,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,3324.0
21957,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School,15,10,"Developer, back-end;System administrator",20 to 99 employees,PHP	Philippine peso,80000.0,Monthly,C;HTML/CSS;Java;JavaScript;PHP;SQL,PHP;Python,MariaDB;MySQL;SQLite,MongoDB,Microsoft Azure,,jQuery;Laravel;React.js,Laravel,,,Git,,Eclipse;Notepad++;Sublime Text;Visual Studio Code;Xcode,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,18960.0
22011,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",14,10,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",10 to 19 employees,PHP	Philippine peso,,,Elixir;HTML/CSS;JavaScript;PHP;SQL,Ruby,MariaDB;MySQL;Redis,Elasticsearch,AWS;DigitalOcean,,Django;Drupal;jQuery;Laravel;Vue.js,Ruby on Rails,,,Git,Chef;Docker;Kubernetes,Sublime Text;Vim;Visual Studio Code,,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
22025,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Books / Physical media,12,8,"Developer, desktop or enterprise applications;Developer, back-end",500 to 999 employees,PHP	Philippine peso,30000.0,Monthly,C#;C++;Python;SQL,C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,MySQL,MySQL,,,ASP.NET;jQuery,ASP.NET;jQuery,.NET Framework;.NET Core / .NET 5;NumPy;TensorFlow,.NET Framework;.NET Core / .NET 5;NumPy;TensorFlow,,,Notepad++;Visual Studio,Notepad++;Visual Studio,Windows,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,7116.0
22206,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);School",10,8,"Developer, full-stack;Developer, back-end",100 to 499 employees,MYR	Malaysian ringgit,,Monthly,HTML/CSS;JavaScript;PHP,,MySQL,,AWS,,jQuery;Laravel,,,,Git,,Sublime Text;Visual Studio Code,,Windows,Go for a walk or other physical activity;Google it;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
22211,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",9,4,"Developer, full-stack",I don’t know,PHP	Philippine peso,,Monthly,Bash/Shell;C#;Go;JavaScript;PHP;SQL;TypeScript,Go;JavaScript;Rust;TypeScript,Elasticsearch;Firebase;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform;Heroku,DigitalOcean,Angular;jQuery;Laravel;Vue.js,jQuery,,,Docker;Git,Deno;Docker;Git;Kubernetes;Terraform;Unity 3D,Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,"Or, in your own words:",Prefer to self-describe:,Southeast Asian,"Or, in your own words:",None of the above,Too short,Easy,
22269,I code primarily as a hobby,"Not employed, but looking for work",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",Less than 1 year,,"Developer, full-stack;Developer, back-end;Academic researcher;Student;Developer, game or graphics",,,,,,,PostgreSQL,Firebase;MongoDB;PostgreSQL,,,Angular;ASP.NET;ASP.NET Core ;Express;Flask;React.js,Angular;ASP.NET;ASP.NET Core ;Express;Flask;React.js,,,Docker,Docker,Neovim;Vim,Neovim;Vim,Linux-based,Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,18-24 years old,Man,No,Prefer not to say,Southeast Asian,I am deaf / hard of hearing;I am blind / have difficulty seeing,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have autism / an autism spectrum disorder (e.g. Asperger's)",Appropriate in length,Neither easy nor difficult,
22276,I code primarily as a hobby,"Not employed, and not looking for work",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",6,,,,,,,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python,C;COBOL;Crystal;Elixir;Erlang;Julia;Kotlin;TypeScript;VBA,MongoDB,MongoDB,Heroku,,Flask,Flask,,,Git,Git,IPython/Jupyter;Notepad++;Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",Yes,Prefer not to say,Man,"Or, in your own words:",Prefer to self-describe:,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
22295,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",6,1,"Data scientist or machine learning specialist;Developer, back-end",2 to 9 employees,PHP	Philippine peso,,Monthly,C;C#;C++;HTML/CSS;PHP;Python,Java;JavaScript;Kotlin;Node.js,MariaDB;MySQL;SQLite,DynamoDB;Elasticsearch;Firebase;MongoDB;PostgreSQL,,,Django;Flask,Angular;Angular.js;jQuery;Laravel;React.js;Spring;Vue.js,NumPy;Pandas,Apache Spark;Flutter;Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Git,Ansible;Docker;Git;Kubernetes;Puppet,PyCharm;Visual Studio Code,Android Studio;Eclipse;IntelliJ,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Bisexual,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
22354,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",6,2,"Developer, full-stack",20 to 99 employees,PHP	Philippine peso,19000.0,Monthly,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Firebase;MariaDB;MySQL;Redis,Firebase;MariaDB;MySQL;Redis,DigitalOcean,DigitalOcean;Google Cloud Platform,Laravel;Vue.js,Laravel;Vue.js,,,Docker;Git;Yarn,Docker;Git;Yarn,Sublime Text;Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,4500.0
22722,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",7,,,,,,,Bash/Shell;C;C#;JavaScript;Node.js;PowerShell;Python;Rust;TypeScript,Bash/Shell;C;C#;Dart;Elixir;Erlang;F#;Julia;Kotlin;Node.js;PowerShell;Python;Rust;Scala;Swift;TypeScript,MySQL;PostgreSQL;SQLite,Cassandra;Firebase;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,,,,,,,Git,Ansible;Docker;Git,IntelliJ;Visual Studio Code,Vim;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,,Appropriate in length,Neither easy nor difficult,
22735,I am a developer by profession,Employed full-time,Philippines,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",12,8,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Designer","1,000 to 4,999 employees",PHP	Philippine peso,1700000.0,Yearly,HTML/CSS;Java;JavaScript;SQL,Python,IBM DB2;Microsoft SQL Server;MySQL;Oracle,,,,jQuery;Spring,,,,,,Eclipse;NetBeans;Notepad++,,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Play games,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,33575.0
22869,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",Less than 1 year,,,,,,,Python,C#;Python,,,,,,,NumPy,NumPy,,,PyCharm;Visual Studio Code,PyCharm;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,Under 18 years old,Man,No,Gay or Lesbian,Southeast Asian,None of the above,Prefer not to say,Appropriate in length,Easy,
22875,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",12,1,"Developer, front-end;Developer, full-stack;Designer",I don’t know,PHP	Philippine peso,20000.0,Monthly,Assembly;Bash/Shell;C#;C++;Dart;Java;JavaScript;Matlab;Node.js;PHP;Python,HTML/CSS;JavaScript;PHP,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL,Heroku,Heroku,Express;Gatsby;jQuery;Laravel;React.js;Symfony;Vue.js,Angular.js;Express;Gatsby;React.js;Vue.js,,,Git;Unity 3D;Unreal Engine;Yarn,Docker;Git;Yarn,NetBeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD);I have an anxiety disorder,Too long,Easy,4740.0
23023,I am a student who is learning to code,"Student, full-time",Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",4,,,,,,,C;Java;JavaScript;Python;R,C;C#;C++;Java;JavaScript;Python,,,,,React.js,React.js,,,Unity 3D,Unity 3D;Unreal Engine,Visual Studio;Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
23274,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",7,5,"Developer, full-stack",100 to 499 employees,PHP	Philippine peso,,Monthly,HTML/CSS;JavaScript;PHP;SQL,Kotlin,MariaDB;MySQL,Firebase,AWS;DigitalOcean,,jQuery;Laravel;Vue.js,Angular.js;React.js,Flutter,,Git;Puppet,,Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
23879,I am a developer by profession,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",13,7,"Developer, mobile",100 to 499 employees,PHP	Philippine peso,,,Java;Kotlin,Kotlin;Swift,,,AWS,AWS,,,,,,,Android Studio,Android Studio;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Too long,Easy,
24042,None of these,"Student, full-time",Philippines,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",10,,,,,,,C++;Python,C#;Haskell;LISP;Rust,,,,,Django,,,,Git,Git,Sublime Text;Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
24057,I am a student who is learning to code,Employed full-time,Philippines,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,4,,Student,,,,,HTML/CSS;PHP;SQL,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,MySQL,MariaDB;MySQL;Oracle;PostgreSQL;SQLite,,,,,,,Git,Ansible;Docker;Git;Kubernetes;Unreal Engine,Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Visual Studio,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,I am deaf / hard of hearing,None of the above,Appropriate in length,Neither easy nor difficult,
24717,I am a student who is learning to code,Employed part-time,Philippines,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Friend or family member",Less than 1 year,,"Developer, front-end",,,,,HTML/CSS;JavaScript;PHP,APL;Assembly;Bash/Shell;C;C#;C++;Clojure;COBOL;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,,,,,,,,,,,Sublime Text,Atom;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow,A few times per week,No,,"Yes, somewhat",No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Too long,Easy,
